twt,iline,xline,Seismic,cdp_x,cdp_y,Chaos,Dominant_Frequency,Gradient_Mag,Instantaneous_Bandwith,Instantaneous_Freq,Instantaneous_Quality,RMS,Sweetness,Envelope
500.0,2942,8619,-3.9788246,653478.44,367115.84,0.36334243,0.016716667,1.4933743,0.0,-0.016716667,-0.08358333,3.9885874,3.9788246,3.9788246
504.0,2942,8619,-3.9984016,653478.44,367115.84,0.36421713,0.06960369,1.4817827,0.06953054,-0.0031902462,-0.015951231,3.9890714,3.9984083,3.9984083
508.0,2942,8619,-3.9873266,653478.44,367115.84,0.36537057,0.11719701,1.4765365,0.11492956,-0.022942014,-0.09980902,3.9899812,3.987334,3.987334
512.0,2942,8619,-3.9826279,653478.44,367115.84,0.36673635,0.041121684,1.4776263,0.026181234,-0.031710185,-0.15855092,3.9909313,3.9826374,3.9826374
516.0,2942,8619,-3.9908514,653478.44,367115.84,0.36817464,0.08319104,1.471595,0.08069386,-0.020229924,-0.10114962,3.991643,3.9908657,3.9908657
520.0,2942,8619,-3.995204,653478.44,367115.84,0.36948124,0.01718864,1.4655672,0.011287823,-0.012962808,-0.06481404,3.99302,3.9952142,3.9952142
524.0,2942,8619,-3.990818,653478.44,367115.84,0.37070456,0.0069328067,1.4678495,0.006931358,-0.00014173117,-0.0007086558,3.9914706,3.990825,3.990825
528.0,2942,8619,-3.9958782,653478.44,367115.84,0.37196785,0.09621119,1.4881579,0.09605609,0.005460834,0.02730417,3.9926715,3.995913,3.995913
532.0,2942,8619,-4.004792,653478.44,367115.84,0.3730841,0.025800712,1.493943,0.025725413,0.0019697477,0.009848739,3.9957118,4.004798,4.004798
536.0,2942,8619,-3.9912376,653478.44,367115.84,0.3737927,0.14231871,1.4805418,0.13685234,-0.03906474,-0.14272587,3.9991164,3.9912379,3.9912379
540.0,2942,8619,-3.984456,653478.44,367115.84,0.3741634,0.07750403,1.476743,0.042182557,-0.06501928,-0.3250964,4.0022397,3.9844964,3.9844964
544.0,2942,8619,-3.9981308,653478.44,367115.84,0.3745037,0.14962332,1.4689425,0.14456286,-0.03858392,-0.13345031,4.0050983,3.9982333,3.9982333
548.0,2942,8619,-4.0099783,653478.44,367115.84,0.37506428,0.12194972,1.4682379,0.12188201,0.0040634735,0.016669704,4.00842,4.01007,4.01007
552.0,2942,8619,-4.0214243,653478.44,367115.84,0.37594265,0.08166362,1.484119,0.07196925,0.03859242,0.1929621,4.012199,4.021506,4.021506
556.0,2942,8619,-4.0232573,653478.44,367115.84,0.37691024,0.059469853,1.4819094,0.04551577,0.038275037,0.19137518,4.0156193,4.0232725,4.0232725
560.0,2942,8619,-4.0165405,653478.44,367115.84,0.37748802,0.03799749,1.4794858,0.0023646485,0.037923843,0.18961921,4.0174556,4.0165663,4.0165663
564.0,2942,8619,-4.0257444,653478.44,367115.84,0.37738267,0.15794912,1.4871646,0.14685419,0.058153,0.1979957,4.018831,4.025781,4.025781
568.0,2942,8619,-4.038707,653478.44,367115.84,0.37661988,0.06472344,1.4924316,0.011347973,0.06372085,0.31860426,4.021687,4.0387096,4.0387096
572.0,2942,8619,-4.0220747,653478.44,367115.84,0.37560758,0.23569532,1.4933239,0.23563302,0.00541893,0.0114986645,4.0223746,4.0221176,4.0221176
576.0,2942,8619,-4.0010805,653478.44,367115.84,0.37512398,0.084037736,1.4808598,0.07399336,-0.03984123,-0.19920614,4.021767,4.0010805,4.0010805
580.0,2942,8619,-4.0105505,653478.44,367115.84,0.3754575,0.22670117,1.4863977,0.22443764,-0.031955753,-0.071190715,4.023257,4.010581,4.010581
584.0,2942,8619,-4.0356693,653478.44,367115.84,0.37584436,0.106819846,1.5011594,0.098425694,0.041507367,0.20753683,4.0209737,4.0357056,4.0357056
588.0,2942,8619,-4.0276117,653478.44,367115.84,0.3755845,0.14795701,1.48539,0.13395943,0.062818386,0.23446794,4.0107675,4.0276446,4.0276446
592.0,2942,8619,-4.017787,653478.44,367115.84,0.37491122,0.10331757,1.4712754,0.04070745,0.094960116,0.4748006,3.9999185,4.0177927,4.0177927
596.0,2942,8619,-4.0299435,653478.44,367115.84,0.37450644,0.018725561,1.4867525,0.015990634,-0.009744037,-0.048720185,4.0203986,4.03,4.03
600.0,2942,8619,-4.0051613,653478.44,367115.84,0.3748305,0.51380515,1.4959712,0.47730994,-0.19018658,-0.19922754,4.032599,4.00522,4.00522
604.0,2942,8619,-3.9463139,653478.44,367115.84,0.37613776,0.71994835,1.4906375,0.659042,-0.28980893,-0.21987136,4.034344,3.9464972,3.9464972
608.0,2942,8619,-3.9236336,653478.44,367115.84,0.3782002,1.5059116,1.4872315,1.5030028,-0.09355332,-0.031122137,4.0316076,3.9263349,3.9263349
612.0,2942,8619,-4.1817436,653478.44,367115.84,0.3797456,1.2319609,1.5268074,1.1454011,0.45363417,0.19802415,4.029397,4.1833367,4.1833367
616.0,2942,8619,-4.119315,653478.44,367115.84,0.37952638,1.0365807,1.4961185,0.9084434,0.49922955,0.27477196,4.026486,4.120148,4.120148
620.0,2942,8619,-4.0513372,653478.44,367115.84,0.37769338,0.6667922,1.5035834,0.6112109,0.26652035,0.2180265,4.024271,4.05189,4.05189
624.0,2942,8619,-4.0028753,653478.44,367115.84,0.37530333,0.26194564,1.5075963,0.26167503,-0.011903071,-0.022743994,4.0295606,4.0035996,4.0035996
628.0,2942,8619,-3.9977798,653478.44,367115.84,0.37378803,0.164478,1.5051521,0.05726053,-0.15418899,-0.77094495,4.0411797,3.9978623,3.9978623
632.0,2942,8619,-4.003669,653478.44,367115.84,0.37372825,0.12641886,1.4964547,0.0767671,-0.10044173,-0.50220865,4.0226927,4.003887,4.003887
636.0,2942,8619,-3.985075,653478.44,367115.84,0.37450564,0.11674725,1.4938619,0.08836572,-0.07629823,-0.38149115,4.007873,3.9851499,3.9851499
640.0,2942,8619,-3.9945965,653478.44,367115.84,0.37513608,0.2852063,1.4951737,0.2841427,0.024607975,0.043302145,3.9986854,3.9946,3.9946
644.0,2942,8619,-4.02975,653478.44,367115.84,0.37531233,0.1975686,1.4980513,0.15559892,0.12174697,0.39122048,3.993888,4.0297723,4.0297723
648.0,2942,8619,-4.018118,653478.44,367115.84,0.37515607,0.28598973,1.5108175,0.2572793,0.12488991,0.2427127,3.991723,4.018547,4.018547
652.0,2942,8619,-3.9871902,653478.44,367115.84,0.37474367,0.27153468,1.4952263,0.27014866,0.027400583,0.050713897,3.9897907,3.9876173,3.9876173
656.0,2942,8619,-3.9687881,653478.44,367115.84,0.37380937,0.15998788,1.4871241,0.15314573,-0.04628723,-0.15112153,3.985223,3.9691737,3.9691737
660.0,2942,8619,-3.9595356,653478.44,367115.84,0.37232745,0.072969094,1.5208793,0.062274016,-0.038032033,-0.19016016,3.9755669,3.959677,3.959677
664.0,2942,8619,-3.9782715,653478.44,367115.84,0.37064877,0.209435,1.5232149,0.20053957,0.060389552,0.15056767,3.9588573,3.9783518,3.9783518
668.0,2942,8619,-3.9862957,653478.44,367115.84,0.36874563,0.2076462,1.4863768,0.18163626,0.100624144,0.27699354,3.943496,3.986673,3.986673
672.0,2942,8619,-3.9437237,653478.44,367115.84,0.366571,0.44962052,1.4953022,0.44901544,-0.023318619,-0.02596639,3.938662,3.944528,3.944528
