twt,iline,xline,Seismic,cdp_x,cdp_y,Chaos,Dominant_Frequency,Gradient_Mag,Instantaneous_Bandwith,Instantaneous_Freq,Instantaneous_Quality,RMS,Sweetness,Envelope
500.0,3090,8914,-8.074682,657996.2,369741.66,0.12583885,0.004571476,0.38813946,0.0,-0.004571476,-0.02285738,8.123378,8.074682,8.074682
504.0,3090,8914,-8.125113,657996.2,369741.66,0.12650971,0.2468958,0.3929805,0.24558392,0.02541802,0.051750172,8.129448,8.1251745,8.1251745
508.0,3090,8914,-8.149716,657996.2,369741.66,0.12633875,0.051266868,0.39854416,0.022500133,0.046065558,0.2303278,8.135682,8.149738,8.149738
512.0,3090,8914,-8.123736,657996.2,369741.66,0.12518834,0.12931809,0.4110803,0.119566694,0.049264323,0.20601189,8.127379,8.123825,8.123825
516.0,3090,8914,-8.119175,657996.2,369741.66,0.12344497,0.1733563,0.40984103,0.15033786,0.08631876,0.28708255,8.115394,8.1191845,8.1191845
520.0,3090,8914,-8.17367,657996.2,369741.66,0.12219249,0.26427522,0.39508694,0.21830611,0.14894238,0.34113196,8.11164,8.173687,8.173687
524.0,3090,8914,-8.179717,657996.2,369741.66,0.12282495,0.30710176,0.38967526,0.27443185,0.13783553,0.25112888,8.107276,8.1805105,8.1805105
528.0,3090,8914,-8.074813,657996.2,369741.66,0.12419771,0.48279697,0.40128478,0.4824558,-0.018147374,-0.018807292,8.120457,8.07628,8.07628
532.0,3090,8914,-8.016565,657996.2,369741.66,0.124348454,0.20335306,0.41170484,0.07852378,-0.18758062,-0.93790305,8.164192,8.016995,8.016995
536.0,3090,8914,-8.040664,657996.2,369741.66,0.12556125,0.21793503,0.43657103,0.14842843,-0.15957655,-0.53755385,8.176493,8.040714,8.040714
540.0,3090,8914,-8.085816,657996.2,369741.66,0.1254797,0.58022296,0.45566356,0.53943527,0.21370141,0.19807884,8.114439,8.085846,8.085846
544.0,3090,8914,-8.266985,657996.2,369741.66,0.119273506,1.5034629,0.5101818,1.279874,0.78887486,0.3081846,8.032816,8.267142,8.267142
548.0,3090,8914,-8.5091095,657996.2,369741.66,0.15098862,1.1404963,0.42369685,0.17483638,1.1270155,3.2230577,7.974283,8.018892,8.512935
552.0,3090,8914,-8.229828,657996.2,369741.66,0.19681521,2.5934472,0.65020454,2.4944017,0.70987964,0.14229457,7.9386306,8.266299,8.266299
556.0,3090,8914,-7.5967455,657996.2,369741.66,0.20413558,2.5203881,0.550131,2.502635,-0.29861954,-0.059661027,7.9099946,7.6302214,7.6302214
