TWT,MD,Gamma,General_Discrete
2665.0,2346.198,96.87666666666667,1
2665.5,2346.6553333333336,97.92666666666666,1
2666.0,2347.112333333333,101.49666666666667,1
2666.5,2347.5696666666668,102.77666666666666,1
2667.0,2348.0266666666666,103.43333333333334,1
2667.5,2348.484,96.76333333333334,1
2668.0,2348.941333333333,88.26666666666667,1
2668.5,2349.398333333333,88.74333333333334,1
2669.0,2349.9317499999997,96.5275,1
2669.5,2350.4653333333335,98.36333333333333,1
2670.0,2350.9223333333334,96.37,1
2670.5,2351.3796666666667,99.93666666666667,1
2671.0,2351.8366666666666,99.49666666666667,1
2671.5,2352.294,98.82666666666667,1
2672.0,2352.7513333333336,96.36,1
2672.5,2353.2083333333335,97.29,1
2673.0,2353.6656666666668,98.20333333333333,1
2673.5,2354.1226666666666,97.92,2
2674.0,2354.58,96.49666666666667,3
2674.5,2355.0373333333337,97.75666666666666,3
2675.0,2355.4943333333335,91.34333333333332,3
2675.5,2355.9516666666664,95.17333333333333,2
2676.0,2356.4086666666667,100.10666666666667,2
2676.5,2356.94225,97.79999999999998,2
2677.0,2357.4756666666667,99.39333333333333,1
2677.5,2357.9326666666666,99.82333333333332,1
2678.0,2358.39,99.30333333333334,1
2678.5,2358.8473333333336,100.19666666666667,1
2679.0,2359.3043333333335,96.53333333333335,1
2679.5,2359.7616666666668,93.05,1
2680.0,2360.2186666666666,97.69999999999999,1
2680.5,2360.676,99.01333333333332,1
2681.0,2361.133333333333,85.17,1
2681.5,2361.5903333333335,94.31333333333335,1
2682.0,2362.0476666666664,93.77,1
2682.5,2362.5046666666667,95.17,1
2683.0,2362.962,92.96999999999998,1
2683.5,2363.4193333333333,95.15666666666665,1
2684.0,2363.9525000000003,90.24000000000001,1
2684.5,2364.486,90.34999999999998,1
2685.0,2364.943333333333,95.17,1
2685.5,2365.4003333333335,98.06,1
2686.0,2365.857666666667,95.20666666666666,1
2686.5,2366.3146666666667,96.74333333333334,2
2687.0,2366.772,98.46999999999998,3
2687.5,2367.229333333333,99.27666666666666,3
2688.0,2367.6863333333336,102.46,2
2688.5,2368.143666666667,99.88,2
2689.0,2368.6006666666667,104.18333333333334,2
2689.5,2369.058,104.19333333333333,2
2690.0,2369.5153333333333,103.82333333333334,1
2690.5,2369.9723333333336,99.14999999999999,1
2691.0,2370.429666666667,98.17666666666668,1
2691.5,2370.9629999999997,101.2125,1
2692.0,2371.496333333333,101.54333333333334,3
2692.5,2371.953666666667,96.03333333333335,3
2693.0,2372.4106666666667,101.15666666666668,3
2693.5,2372.868,98.55666666666667,1
2694.0,2373.325333333333,77.57333333333334,1
2694.5,2373.782333333333,80.96666666666668,1
2695.0,2374.2396666666664,90.67,1
2695.5,2374.6966666666667,94.93333333333334,1
2696.0,2375.154,96.38,1
2696.5,2375.6113333333333,92.62333333333333,1
2697.0,2376.068333333333,96.2,2
2697.5,2376.5256666666664,94.61666666666667,2
2698.0,2376.982666666667,96.41000000000001,2
2698.5,2377.44,96.92,2
2699.0,2377.9735,95.94749999999999,2
2699.5,2378.5066666666667,93.80666666666667,2
2700.0,2378.964,94.54333333333334,1
2700.5,2379.421333333333,95.67,1
2701.0,2379.8783333333336,95.79,1
2701.5,2380.3356666666664,99.12,1
2702.0,2380.7926666666667,97.35666666666667,1
2702.5,2381.25,95.74000000000001,1
2703.0,2381.7073333333333,93.40666666666665,1
2703.5,2382.1643333333336,95.96666666666665,2
2704.0,2382.6216666666664,93.8,2
2704.5,2383.078666666667,97.25666666666666,2
2705.0,2383.536,97.01666666666667,2
2705.5,2383.9933333333333,90.04333333333334,1
2706.0,2384.450333333333,90.83666666666666,1
2706.5,2384.98375,81.34,1
2707.0,2385.517333333333,82.80333333333333,1
2707.5,2385.9743333333336,74.12666666666667,1
2708.0,2386.4316666666664,80.61666666666667,1
2708.5,2386.8886666666667,92.97333333333331,1
2709.0,2387.346,90.87,1
2709.5,2387.8033333333333,94.17333333333333,1
2710.0,2388.2603333333336,93.44666666666666,1
2710.5,2388.7176666666664,94.08999999999999,1
2711.0,2389.174666666667,94.05666666666666,1
2711.5,2389.632,96.79666666666667,1
2712.0,2390.0893333333333,99.31,1
2712.5,2390.546333333333,97.66000000000001,1
2713.0,2391.0036666666665,94.67666666666668,1
2713.5,2391.4606666666664,95.83333333333333,1
2714.0,2391.99425,91.8125,1
2714.5,2392.527666666667,93.86333333333333,1
2715.0,2392.9846666666667,96.42666666666668,1
2715.5,2393.442,94.57666666666667,1
2716.0,2393.8993333333333,91.66666666666667,1
2716.5,2394.3563333333336,91.58333333333333,2
2717.0,2394.813666666667,92.54,3
2717.5,2395.270666666667,96.13,3
2718.0,2395.728,98.32,3
2718.5,2396.1853333333333,97.41666666666667,2
2719.0,2396.642333333333,93.45333333333333,2
2719.5,2397.099666666667,93.50666666666667,2
2720.0,2397.5566666666664,80.29,1
2720.5,2398.014,67.31333333333333,1
2721.0,2398.4713333333334,68.03333333333335,1
2721.5,2399.0045,87.55000000000001,1
2722.0,2399.538,80.94,1
2722.5,2399.9953333333333,77.80666666666667,1
2723.0,2400.452333333333,75.72,1
2723.5,2400.9096666666665,65.31,1
2724.0,2401.366666666667,80.85666666666667,1
2724.5,2401.824,83.31,1
2725.0,2402.2813333333334,76.29333333333334,1
2725.5,2402.7383333333332,91.78333333333335,1
2726.0,2403.1956666666665,91.53333333333332,1
2726.5,2403.652666666667,98.99,1
2727.0,2404.11,100.17333333333333,1
2727.5,2404.567333333333,99.57666666666667,1
2728.0,2405.0243333333333,98.37666666666667,1
2728.5,2405.4816666666666,85.42999999999999,1
2729.0,2405.938666666667,95.93333333333332,1
2729.5,2406.47225,92.5875,1
2730.0,2407.0056666666665,96.67999999999999,1
2730.5,2407.462666666667,101.88666666666666,1
2731.0,2407.92,98.36666666666667,1
2731.5,2408.3773333333334,100.55666666666667,1
2732.0,2408.8343333333332,102.56666666666666,1
2732.5,2409.2916666666665,101.49,1
2733.0,2409.7486666666664,102.86000000000001,1
2733.5,2410.206,95.20333333333333,1
2734.0,2410.6633333333334,98.43,1
2734.5,2411.1203333333333,96.60000000000001,1
2735.0,2411.5776666666666,93.91000000000001,2
2735.5,2412.0346666666665,94.25333333333333,2
2736.0,2412.492,96.92,2
2736.5,2412.9493333333335,98.17333333333333,3
2737.0,2413.4825,98.03,3
2737.5,2414.016,94.69,3
2738.0,2414.4733333333334,97.40666666666665,3
2738.5,2414.9303333333332,96.87666666666667,3
2739.0,2415.3876666666665,95.07333333333334,3
2739.5,2415.8446666666664,100.97666666666665,3
