TWT,MD,Gamma,General_Discrete
2665.0,2279.9421666666667,92.32666666666667,1
2665.5,2280.3993333333333,95.27666666666666,1
2666.0,2280.8565000000003,96.91666666666667,1
2666.5,2281.313666666667,96.37666666666667,1
2667.0,2281.7708333333335,94.42833333333333,1
2667.5,2282.2281666666668,89.89333333333333,1
2668.0,2282.6853333333333,85.13999999999999,1
2668.5,2283.1425,82.64833333333333,1
2669.0,2283.599666666667,84.88,1
2669.5,2284.056833333333,58.625,1
2670.0,2284.514166666667,71.80166666666668,3
2670.5,2284.9713333333334,89.86833333333334,3
2671.0,2285.4285,80.65333333333334,1
2671.5,2285.885666666667,83.09333333333333,1
2672.0,2286.342833333333,87.52833333333332,1
2672.5,2286.800166666667,86.24333333333334,1
2673.0,2287.2573333333335,96.42,1
2673.5,2287.7145,100.46999999999998,1
2674.0,2288.171666666667,92.69666666666667,1
2674.5,2288.628833333333,86.50666666666667,1
2675.0,2289.086166666667,82.77833333333334,1
2675.5,2289.5433333333335,86.45333333333333,1
2676.0,2290.0005,96.17333333333333,1
2676.5,2290.4576666666667,97.85500000000002,3
2677.0,2290.9148333333333,89.44833333333334,2
2677.5,2291.3721666666665,96.615,1
2678.0,2291.8293333333336,99.295,1
2678.5,2292.2865,98.79333333333334,1
2679.0,2292.7436666666667,93.84666666666668,1
2679.5,2293.2008333333333,89.52499999999999,1
2680.0,2293.6581666666666,96.31666666666666,1
2680.5,2294.1153333333336,95.46499999999999,1
2681.0,2294.5725,89.42333333333333,1
2681.5,2295.029666666667,84.27499999999999,1
2682.0,2295.4868333333334,92.99666666666667,1
2682.5,2295.9441666666667,93.27,1
2683.0,2296.4013333333332,89.65833333333335,1
2683.5,2296.8585000000003,85.825,1
2684.0,2297.3156666666664,87.47500000000001,1
2684.5,2297.7728333333334,88.63333333333333,2
2685.0,2298.2301666666667,92.07666666666665,3
2685.5,2298.6873333333333,88.79,1
2686.0,2299.1445000000003,88.34666666666668,1
2686.5,2299.6016666666665,88.63333333333333,1
2687.0,2300.058833333333,93.25999999999999,1
2687.5,2300.516166666667,91.05000000000001,2
2688.0,2300.9733333333334,91.96833333333332,3
2688.5,2301.4305,97.38000000000001,1
2689.0,2301.8876666666665,96.96499999999999,1
2689.5,2302.344833333333,94.48500000000001,1
2690.0,2302.802166666667,91.94333333333333,1
2690.5,2303.2593333333334,92.46833333333332,1
2691.0,2303.7165,92.05833333333334,1
2691.5,2304.1736666666666,84.48333333333333,1
2692.0,2304.630833333333,88.72833333333334,1
2692.5,2305.088166666667,91.93166666666667,1
2693.0,2305.5453333333335,89.34500000000001,1
2693.5,2306.0025,91.39,2
2694.0,2306.4596666666666,97.00166666666667,3
2694.5,2306.916833333333,94.06833333333333,1
2695.0,2307.374166666667,92.58833333333332,1
2695.5,2307.8313333333335,94.57333333333332,1
2696.0,2308.2885,91.31166666666667,1
2696.5,2308.7456666666667,86.63833333333334,1
2697.0,2309.2028333333333,89.86666666666667,1
2697.5,2309.6601666666666,91.18333333333334,1
2698.0,2310.1173333333336,89.185,1
2698.5,2310.5745,91.42,1
2699.0,2311.0316666666668,94.44666666666667,1
2699.5,2311.4888333333333,87.13666666666667,1
2700.0,2311.9461666666666,79.81166666666667,3
2700.5,2312.4033333333336,81.78,3
2701.0,2312.8605000000002,86.13833333333334,1
2701.5,2313.317666666667,82.25333333333333,1
2702.0,2313.7748333333334,91.54833333333333,1
2702.5,2314.2321666666667,94.32166666666667,1
2703.0,2314.6893333333333,92.075,1
2703.5,2315.1465000000003,86.71833333333332,1
2704.0,2315.603666666667,80.62333333333332,1
2704.5,2316.0608333333334,81.99,1
2705.0,2316.5181666666667,110.68333333333334,1
2705.5,2317.0134285714284,92.46571428571428,1
2706.0,2317.5086666666666,83.82833333333333,3
2706.5,2317.9658333333336,89.05499999999999,1
2707.0,2318.423166666667,84.695,1
2707.5,2318.880333333333,88.60666666666667,1
2708.0,2319.3375,90.18166666666666,1
2708.5,2319.7946666666667,89.71,1
2709.0,2320.2518333333337,87.425,1
2709.5,2320.7091666666665,88.765,1
2710.0,2321.166333333333,92.65333333333335,1
2710.5,2321.6235,88.71,1
2711.0,2322.0806666666667,87.52999999999999,1
2711.5,2322.5378333333338,95.55833333333332,1
2712.0,2322.9951666666666,97.555,1
2712.5,2323.452333333333,90.995,2
2713.0,2323.9095,91.73333333333333,3
2713.5,2324.366666666667,94.55,1
2714.0,2324.8238333333334,94.42833333333333,1
2714.5,2325.2811666666666,95.80333333333334,1
2715.0,2325.7383333333332,94.70833333333333,1
2715.5,2326.1955000000003,90.20833333333333,1
2716.0,2326.652666666667,86.32166666666667,1
2716.5,2327.1098333333334,92.64166666666667,1
2717.0,2327.5671666666667,98.84499999999998,1
2717.5,2328.0243333333333,99.07,2
2718.0,2328.4815000000003,95.74000000000001,2
2718.5,2328.938666666667,97.88,1
2719.0,2329.3958333333335,98.93333333333334,1
2719.5,2329.8531666666668,97.605,1
2720.0,2330.3103333333333,97.21666666666665,1
2720.5,2330.7675,99.26833333333333,1
2721.0,2331.224666666667,100.30833333333334,1
2721.5,2331.681833333333,99.03333333333335,1
2722.0,2332.139166666667,98.40666666666665,1
2722.5,2332.5963333333334,96.81666666666666,1
2723.0,2333.0535,97.66666666666667,3
2723.5,2333.510666666667,100.75833333333333,2
2724.0,2333.967833333333,97.58166666666666,1
2724.5,2334.425166666667,99.59499999999998,1
2725.0,2334.8823333333335,98.75666666666666,1
2725.5,2335.3395,96.81666666666666,1
2726.0,2335.796666666667,98.93166666666666,1
2726.5,2336.253833333333,90.76166666666666,1
2727.0,2336.711166666667,90.33,1
2727.5,2337.1683333333335,95.83999999999999,1
2728.0,2337.6255,91.04166666666667,1
2728.5,2338.0826666666667,84.98333333333333,2
2729.0,2338.5398333333333,88.5,3
2729.5,2338.9971666666665,91.445,1
2730.0,2339.4543333333336,91.23333333333333,1
2730.5,2339.9115,92.18666666666667,1
2731.0,2340.3686666666667,99.43333333333332,1
2731.5,2340.8258333333333,97.355,1
2732.0,2341.2831666666666,97.15166666666666,1
2732.5,2341.7403333333336,92.83,1
2733.0,2342.1975,92.28500000000001,1
2733.5,2342.654666666667,92.81166666666667,1
2734.0,2343.1118333333334,90.26333333333332,3
2734.5,2343.5691666666667,82.46333333333332,1
